Semigroup ID,Multiplication Table,Order of Group of Units
"[ 4, 7 ]","[[1, 2, 3, 4], [2, 1, 4, 3], [3, 4, 1, 2], [4, 3, 2, 1]]",4
"[ 4, 24 ]","[[1, 1, 1, 1], [1, 1, 1, 2], [1, 1, 1, 3], [1, 2, 3, 4]]",1
"[ 4, 28 ]","[[1, 1, 3, 1], [1, 1, 3, 2], [3, 3, 1, 3], [1, 2, 3, 4]]",1
"[ 4, 32 ]","[[1, 2, 2, 1], [2, 1, 1, 2], [2, 1, 1, 3], [1, 2, 3, 4]]",1
"[ 4, 37 ]","[[1, 2, 3, 4], [2, 1, 4, 3], [3, 4, 2, 1], [4, 3, 1, 2]]",4
"[ 4, 40 ]","[[1, 1, 1, 1], [1, 1, 1, 2], [1, 1, 2, 3], [1, 2, 3, 4]]",1
"[ 4, 48 ]","[[1, 1, 1, 1], [1, 1, 2, 2], [1, 2, 3, 4], [1, 2, 4, 3]]",2
"[ 4, 50 ]","[[1, 2, 1, 1], [2, 1, 2, 2], [1, 2, 3, 4], [1, 2, 4, 3]]",2
"[ 4, 51 ]","[[1, 2, 1, 2], [2, 1, 2, 1], [1, 2, 3, 4], [2, 1, 4, 3]]",2
"[ 4, 68 ]","[[1, 1, 1, 1], [1, 1, 1, 2], [1, 1, 3, 3], [1, 2, 3, 4]]",1
"[ 4, 71 ]","[[1, 1, 1, 1], [1, 1, 1, 2], [1, 2, 3, 3], [1, 2, 3, 4]]",1
"[ 4, 75 ]","[[1, 1, 1, 1], [1, 1, 1, 2], [3, 3, 3, 3], [1, 2, 3, 4]]",1
"[ 4, 78 ]","[[1, 1, 1, 1], [1, 1, 2, 2], [1, 2, 3, 3], [1, 2, 3, 4]]",1
"[ 4, 83 ]","[[1, 1, 1, 4], [1, 1, 2, 4], [1, 2, 3, 4], [4, 4, 4, 4]]",1
"[ 4, 89 ]","[[1, 2, 1, 1], [2, 1, 2, 2], [1, 2, 3, 3], [1, 2, 3, 4]]",1
"[ 4, 91 ]","[[1, 2, 1, 4], [2, 1, 2, 4], [1, 2, 3, 4], [4, 4, 4, 4]]",1
"[ 4, 94 ]","[[1, 2, 3, 4], [2, 1, 3, 4], [3, 3, 3, 3], [4, 4, 3, 4]]",2
"[ 4, 95 ]","[[1, 2, 3, 4], [2, 1, 3, 4], [3, 3, 3, 3], [4, 4, 4, 4]]",2
"[ 4, 96 ]","[[1, 2, 3, 4], [2, 1, 3, 4], [3, 4, 3, 4], [4, 3, 3, 4]]",2
"[ 4, 105 ]","[[1, 1, 1, 1], [1, 2, 1, 2], [1, 1, 3, 3], [1, 2, 3, 4]]",1
"[ 4, 107 ]","[[1, 1, 1, 1], [1, 2, 1, 2], [3, 3, 3, 3], [1, 2, 3, 4]]",1
"[ 4, 114 ]","[[1, 1, 1, 1], [1, 2, 2, 2], [1, 2, 3, 3], [1, 2, 3, 4]]",1
"[ 4, 116 ]","[[1, 1, 1, 1], [1, 2, 2, 2], [1, 2, 3, 4], [1, 4, 4, 4]]",1
"[ 4, 118 ]","[[1, 1, 1, 1], [1, 2, 2, 4], [1, 2, 3, 4], [4, 4, 4, 4]]",1
"[ 4, 121 ]","[[1, 1, 1, 1], [1, 2, 3, 4], [3, 3, 3, 3], [4, 4, 4, 4]]",1
"[ 4, 124 ]","[[1, 1, 1, 1], [1, 2, 3, 4], [1, 3, 4, 2], [1, 4, 2, 3]]",3
"[ 4, 125 ]","[[1, 1, 3, 4], [1, 2, 3, 4], [3, 3, 4, 1], [4, 4, 1, 3]]",1
